,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home
455,3.0848861283643894,1.065217391304348,1.360248447204969,2.5962732919254656,1.196687370600414,0.4886128364389234,0.16356107660455488,0.7360248447204969,0.19047619047619047,0.36749482401656314,1.9596273291925466,1.2225672877846792,0.7370600414078675,0.6366459627329193,2.8840579710144927
382,2.6042780748663104,0.9411764705882353,1.1229946524064172,2.085561497326203,0.9447415329768271,0.5187165775401069,0.17825311942959002,0.5918003565062389,0.15508021390374332,0.31907308377896615,1.6755793226381461,1.0427807486631016,0.6327985739750446,0.5508021390374331,2.4242424242424243
403,2.8705128205128205,0.9807692307692307,1.2205128205128206,2.4384615384615387,1.0846153846153845,0.43205128205128207,0.1358974358974359,0.6846153846153846,0.1794871794871795,0.3474358974358974,1.8717948717948718,1.1602564102564104,0.7115384615384616,0.6089743589743589,2.576923076923077
247,3.5470817120622566,1.1229571984435798,1.6155642023346304,2.8669260700389105,1.353307392996109,0.6801556420233463,0.2622568093385214,0.978988326848249,0.21945525291828794,0.4521400778210117,2.259922178988327,1.4770428015564203,0.7828793774319066,0.6762645914396888,3.493385214007782
441,2.821138211382114,0.9349593495934959,1.2926829268292683,2.3821138211382116,1.1219512195121952,0.43902439024390244,0.17073170731707318,0.8048780487804879,0.0975609756097561,0.34959349593495936,1.8130081300813008,1.1056910569105691,0.7073170731707317,0.7154471544715447,2.7560975609756095
314,2.554054054054054,0.7927927927927928,1.1576576576576576,2.0945945945945947,1.0045045045045045,0.4594594594594595,0.15315315315315314,0.7162162162162162,0.1891891891891892,0.3063063063063063,1.7657657657657657,1.1126126126126126,0.6531531531531531,0.6261261261261262,2.4684684684684686
354,1.7589893100097183,0.49854227405247814,0.8085519922254616,1.358600583090379,0.6540330417881438,0.4003887269193392,0.15451895043731778,0.42565597667638483,0.08843537414965986,0.2118561710398445,1.0097181729834792,0.6394557823129252,0.37026239067055394,0.3129251700680272,1.771622934888241
190,2.8369565217391304,0.9945652173913043,1.141304347826087,2.3532608695652173,0.9565217391304348,0.483695652173913,0.18478260869565216,0.6793478260869565,0.14673913043478262,0.358695652173913,1.8478260869565217,1.1521739130434783,0.6956521739130435,0.45652173913043476,2.467391304347826
1,3.248618784530387,0.9171270718232044,1.5082872928176796,2.861878453038674,1.3867403314917126,0.3867403314917127,0.12154696132596685,0.856353591160221,0.19337016574585636,0.30939226519337015,2.110497237569061,1.3314917127071824,0.7790055248618785,0.6574585635359116,3.138121546961326
453,5.0,1.75,1.9166666666666667,4.083333333333333,1.6666666666666667,0.9166666666666666,0.25,0.9166666666666666,0.16666666666666666,0.5833333333333334,3.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,4.083333333333333
336,3.037037037037037,1.3209876543209877,1.2098765432098766,2.6296296296296298,1.0740740740740742,0.4074074074074074,0.13580246913580246,0.7160493827160493,0.1728395061728395,0.41975308641975306,1.9876543209876543,1.2469135802469136,0.7407407407407407,0.41975308641975306,2.5555555555555554
238,3.6355685131195337,1.2346938775510203,1.6166180758017492,2.946064139941691,1.368804664723032,0.6895043731778425,0.2478134110787172,0.9431486880466472,0.22740524781341107,0.36443148688046645,2.3396501457725947,1.533527696793003,0.8061224489795918,0.7682215743440233,3.4810495626822155
353,2.9097222222222223,0.8541666666666666,1.2881944444444444,2.329861111111111,1.0902777777777777,0.5798611111111112,0.19791666666666666,0.7847222222222222,0.1527777777777778,0.2777777777777778,1.8020833333333333,1.1631944444444444,0.6388888888888888,0.4826388888888889,2.7743055555555554
405,2.798270893371758,1.0605187319884726,1.2276657060518732,2.3688760806916425,1.1095100864553313,0.42939481268011526,0.11815561959654179,0.6743515850144092,0.2219020172910663,0.3371757925072046,1.7579250720461095,1.0605187319884726,0.6974063400576369,0.6311239193083573,2.5734870317002883
102,2.694954128440367,0.8409785932721713,1.1957186544342508,2.0053516819571864,0.963302752293578,0.6896024464831805,0.2324159021406728,0.6024464831804281,0.15978593272171254,0.4434250764525994,2.0344036697247705,1.282874617737003,0.7515290519877675,0.5458715596330275,2.623853211009174
105,2.4101449275362317,0.6768115942028986,1.0695652173913044,1.718840579710145,0.8304347826086956,0.691304347826087,0.2391304347826087,0.5521739130434783,0.12028985507246377,0.3652173913043478,1.76231884057971,1.0811594202898551,0.6811594202898551,0.49420289855072463,2.378260869565217
209,2.6244384546271338,0.766397124887691,1.1572327044025157,1.912848158131177,0.917340521114106,0.7115902964959568,0.2398921832884097,0.5741239892183289,0.14375561545372867,0.4941599281221923,2.1850853548966755,1.407906558849955,0.7771787960467206,0.5103324348607368,2.554357592093441
206,2.8094089264173703,0.744270205066345,1.2195416164053077,2.135102533172497,0.9758745476477684,0.6743063932448733,0.2436670687575392,0.5898673100120627,0.1700844390832328,0.41737032569360677,2.1544028950542824,1.3088057901085646,0.8455971049457177,0.586248492159228,2.6827503015681544
288,2.3220720720720722,0.6531531531531531,1.0157657657657657,1.740990990990991,0.831081081081081,0.581081081081081,0.18468468468468469,0.47072072072072074,0.11936936936936937,0.36711711711711714,1.7387387387387387,1.0202702702702702,0.7184684684684685,0.4572072072072072,2.2162162162162162
